
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0

Sync-Point 1, Time: 6.10352e-05, Nf = 0000000012, Systemstep: 6.10352e-05

Sync-Point 2, Time: 0.00012207, Nf = 0000000094, Systemstep: 6.10352e-05

Sync-Point 3, Time: 0.000183105, Nf = 0000000012, Systemstep: 6.10352e-05

Sync-Point 4, Time: 0.000244141, Nf = 0000001720, Systemstep: 6.10352e-05

Sync-Point 5, Time: 0.000305176, Nf = 0000000004, Systemstep: 6.10352e-05

Sync-Point 6, Time: 0.000366211, Nf = 0000000080, Systemstep: 6.10352e-05

Sync-Point 7, Time: 0.000488281, Nf = 0000005068, Systemstep: 0.00012207

Sync-Point 8, Time: 0.000610352, Nf = 0000000060, Systemstep: 0.00012207

Sync-Point 9, Time: 0.000732422, Nf = 0000001614, Systemstep: 0.00012207

Sync-Point 10, Time: 0.000854492, Nf = 0000000040, Systemstep: 0.00012207

Sync-Point 11, Time: 0.000976562, Nf = 0000008138, Systemstep: 0.00012207

Sync-Point 12, Time: 0.00109863, Nf = 0000000032, Systemstep: 0.00012207

Sync-Point 13, Time: 0.0012207, Nf = 0000001494, Systemstep: 0.00012207

Sync-Point 14, Time: 0.00134277, Nf = 0000000024, Systemstep: 0.00012207

Sync-Point 15, Time: 0.00146484, Nf = 0000004974, Systemstep: 0.00012207

Sync-Point 16, Time: 0.00158691, Nf = 0000000022, Systemstep: 0.00012207

Sync-Point 17, Time: 0.00170898, Nf = 0000001344, Systemstep: 0.00012207

Sync-Point 18, Time: 0.00183105, Nf = 0000000012, Systemstep: 0.00012207

Sync-Point 19, Time: 0.00195312, Nf = 0000015996, Systemstep: 0.00012207

Sync-Point 20, Time: 0.0020752, Nf = 0000000008, Systemstep: 0.00012207

Sync-Point 21, Time: 0.00219727, Nf = 0000001234, Systemstep: 0.00012207

Sync-Point 22, Time: 0.00231934, Nf = 0000000004, Systemstep: 0.00012207

Sync-Point 23, Time: 0.00244141, Nf = 0000004834, Systemstep: 0.00012207

Sync-Point 24, Time: 0.00268555, Nf = 0000001134, Systemstep: 0.000244141

Sync-Point 25, Time: 0.00280762, Nf = 0000000002, Systemstep: 0.00012207

Sync-Point 26, Time: 0.00292969, Nf = 0000008090, Systemstep: 0.00012207

Sync-Point 27, Time: 0.00305176, Nf = 0000000004, Systemstep: 0.00012207

Sync-Point 28, Time: 0.00317383, Nf = 0000001040, Systemstep: 0.00012207

Sync-Point 29, Time: 0.00341797, Nf = 0000004748, Systemstep: 0.000244141

Sync-Point 30, Time: 0.00366211, Nf = 0000000924, Systemstep: 0.000244141

Sync-Point 31, Time: 0.00378418, Nf = 0000000002, Systemstep: 0.00012207

Sync-Point 32, Time: 0.00390625, Nf = 0000037986, Systemstep: 0.00012207

Sync-Point 33, Time: 0.00402832, Nf = 0000000002, Systemstep: 0.00012207

Sync-Point 34, Time: 0.00415039, Nf = 0000000820, Systemstep: 0.00012207

Sync-Point 35, Time: 0.00427246, Nf = 0000000004, Systemstep: 0.00012207

Sync-Point 36, Time: 0.00439453, Nf = 0000004652, Systemstep: 0.00012207

Sync-Point 37, Time: 0.00463867, Nf = 0000000776, Systemstep: 0.000244141

Sync-Point 38, Time: 0.00488281, Nf = 0000008044, Systemstep: 0.000244141

Sync-Point 39, Time: 0.00512695, Nf = 0000000644, Systemstep: 0.000244141

Sync-Point 40, Time: 0.00537109, Nf = 0000004510, Systemstep: 0.000244141

Sync-Point 41, Time: 0.00561523, Nf = 0000000516, Systemstep: 0.000244141

Sync-Point 42, Time: 0.00585938, Nf = 0000015962, Systemstep: 0.000244141

Sync-Point 43, Time: 0.00610352, Nf = 0000000442, Systemstep: 0.000244141

Sync-Point 44, Time: 0.00634766, Nf = 0000004394, Systemstep: 0.000244141

Sync-Point 45, Time: 0.0065918, Nf = 0000000352, Systemstep: 0.000244141

Sync-Point 46, Time: 0.00683594, Nf = 0000008032, Systemstep: 0.000244141

Sync-Point 47, Time: 0.00708008, Nf = 0000000274, Systemstep: 0.000244141

Sync-Point 48, Time: 0.00732422, Nf = 0000004288, Systemstep: 0.000244141

Sync-Point 49, Time: 0.00756836, Nf = 0000000210, Systemstep: 0.000244141

Sync-Point 50, Time: 0.0078125, Nf = 0000068752, Systemstep: 0.000244141

Sync-Point 51, Time: 0.00805664, Nf = 0000000174, Systemstep: 0.000244141

Sync-Point 52, Time: 0.00830078, Nf = 0000004094, Systemstep: 0.000244141

Sync-Point 53, Time: 0.00854492, Nf = 0000000120, Systemstep: 0.000244141

